chname,ename,gbcode,a100009_10,a100010_10,a100003_10,a100004_10,a100011_10,a100007_10,a100008_10,a100006_10,a100005_10,a100002_10,a100001_10
Žֵ,DongHuaMenJieDao,110101001,50163,6741,30849,14842,33646,22142,4462,19804,41946,30517,61366
ɽֵ,JingShanJieDao,110101002,32036,5144,20562,14781,27331,19451,3128,18161,37612,19746,40308
ڽֵ,JiaoDaoKouJieDao,110101003,40397,4976,23012,16026,35070,21007,3823,19453,40460,26184,49196
Žֵ,AnDingMenJieDao,110101004,35326,5231,22513,16151,30916,21388,3801,20076,41464,21845,44358
Žֵ,BeiXinQiaoJieDao,110101005,66434,9672,42032,28871,60744,39090,6167,36844,75934,40241,82273
Ľֵ,DongSiJieDao,110101006,35203,4773,22545,14788,28753,19773,3755,18086,37859,21186,43731
Žֵ,ZhaoYangMenJieDao,110101007,29074,4318,18842,12747,24054,17176,3310,15575,32751,17860,36702
Žֵ,JianGuoMenJieDao,110101008,48001,5925,27349,15081,32156,20046,3244,18933,38979,29821,57170
ֱŽֵ,DongZhiMenJieDao,110101009,36557,6304,23372,16680,28855,20772,3157,19054,39826,22646,46018
ƽֵ,HePingLiJieDao,110101010,85784,16951,57198,40225,68753,51992,9323,47220,99212,54860,112058
�ֵֽ,XiChangAnJieJieDao,110102001,42076,5559,25689,17538,27864,22035,3842,20421,42456,25788,51477
½ֿڽֵ,XinJieKouJieDao,110102003,76379,11177,48164,33611,52618,44028,7941,41083,85111,47333,95497
ֵ̳,YueTanJieDao,110102007,88634,18715,59430,39284,71604,52800,9194,47055,99855,57113,116543
չ·ֵ,ZhanLanLuJieDao,110102009,103608,17766,65853,42921,70629,56527,9551,52311,108838,65072,130925
ʤֵ,DeShengJieDao,110102010,88697,17326,59239,41234,68631,54067,10745,50823,104890,57529,116768
ڽֵֽ,JinRongJieJieDao,110102011,55874,6998,29421,19221,43252,25067,5016,23189,48256,38467,67888
ʲɲֵ,ShiChaHaiJieDao,110102012,77047,10653,47900,34495,54358,43003,7733,40133,83136,47533,95433
ǰŽֵ,QianMenJieDao,110103001,10512,1585,6160,4447,7972,5705,827,5491,11196,6764,12924
ֵ,ChongWenMenWaiJieDao,110103002,40801,4886,25107,16507,22247,20847,3130,18994,39841,23710,48817
нֵ,DongHuaShiJieDao,110103003,43034,5769,27166,19477,23008,23815,3972,22009,45824,25609,52775
̶ֵ,LongTanJieDao,110103004,43355,7744,29177,21300,33894,28039,5158,25684,53723,27080,56257
·ֵ,TiYuGuanLuJieDao,110103005,31810,5812,20457,14304,28017,19409,2681,18469,37878,19846,40303
ֵ̳,TianTanJieDao,110103006,40230,7024,25577,16134,36043,23158,3050,21831,44989,24727,50304
ֵ,YongDingMenWaiJieDao,110103007,68175,10317,42857,32041,51117,41826,6201,40377,82203,41836,84693
դֵ,DaShanLanJieDao,110104001,30420,4009,18820,14731,21386,17409,2568,16582,33991,18177,36997
Žֵ,TianQiaoJieDao,110104002,36812,6377,23921,16851,26082,21317,3196,19763,41080,22464,46385
ֵ,ChunShuJieDao,110104003,25268,3191,14121,10545,17685,12984,2088,12142,25126,16426,30547
Ȼֵͤ,TaoRanTingJieDao,110104004,34563,5641,22079,16249,25812,20771,3251,19235,40006,21376,43455
㰲ڽֵ,GuangAnMenNeiJieDao,110104005,57849,10550,37954,27789,45373,35458,5293,32945,68403,35738,73692
ţֵֽ,NiuJieJieDao,110104006,41172,7128,26665,19487,29072,24656,3577,22898,47554,25212,51877
ֵֽ,BaiZhiFangJieDao,110104007,75175,13739,48994,35727,57425,46372,6823,43519,89891,46743,95737
㰲ֵ,GuangAnMenWaiJieDao,110104008,147239,18462,90894,69635,75733,84359,13835,79369,163728,88642,179536
ӵ,QingHeDiQu,110104400,9988,323,1601,1767,3098,1504,247,1841,3345,8957,10558
ֵ,JianWaiJieDao,110105001,29006,3892,17483,11570,13797,13822,1794,12677,26499,17209,34692
ֵ,ChaoWaiJieDao,110105002,33022,4670,19613,13355,17255,16045,2307,15225,31270,20386,39999
¥ֵ,HuJiaLouJieDao,110105003,48772,9265,30659,20783,33970,26260,3551,24316,50576,30929,61588
ͽֵ,SanLiTunJieDao,110105004,27023,5775,17689,11804,18713,15507,2596,13497,29004,17705,35394
ׯֵ,ZuoJiaZhuangJieDao,110105005,63219,12104,41301,29265,42094,36377,4926,33914,70291,38948,80249
԰ֵ,XiangHeYuanJieDao,110105006,41492,7221,26398,21159,23823,24507,3167,23382,47889,25482,51880
ƽֵֽ,HePingJieJieDao,110105007,88132,14117,55238,33507,64330,41403,6157,39626,81029,53168,108406
ֵ,AnZhenJieDao,110105008,53815,10514,35627,24262,31201,29576,4125,27289,56865,32827,68454
˴ֵ,YaYunCunJieDao,110105009,58316,9835,35929,25956,29431,29527,4264,28441,57968,36486,72415
Сؽֵ,XiaoGuanJieDao,110105010,58007,7010,37204,19089,30622,23450,3346,22345,45795,31159,68363
Žֵ,JiuXianQiaoJieDao,110105011,44285,13773,30914,24358,44697,30084,4069,30021,60105,31213,62127
ӵֵ,MaiZiDianJieDao,110105012,26927,3209,16758,10717,12457,12503,1605,11231,23734,14983,31741
Žֵ,TuanJieHuJieDao,110105013,28893,6563,19390,14639,21369,17746,2218,16289,34035,18284,37674
ͽֵ,LiuLiTunJieDao,110105014,91295,11333,47663,38844,55097,43565,5315,41201,84766,60280,107943
